
<<START>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,, 	(29-AUG-2025 13:10:05)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
SSAPL,2,S,1,01/04/2013, 	(29-AUG-2025 13:10:05)
SGSINDIA,2,S,1,01/04/2007, 	(29-AUG-2025 13:10:05)
JBB,2,V,1,01/04/2007, 	(29-AUG-2025 13:10:05)
JBB,2,V,1,01/04/2007, 	(29-AUG-2025 13:10:05)
SLPL,2,H,1,21/01/2016, 	(29-AUG-2025 13:10:05)
SLPL,2,H,1,21/01/2016, 	(29-AUG-2025 13:10:05)
BOXCO,2,H,1,11/08/2014, 	(29-AUG-2025 13:10:05)
JMB,2,H,1,01/04/2005, 	(29-AUG-2025 13:10:05)

TOTAL DATA EXTRACTED :,8 ,,,,  	(29-AUG-2025 13:10:06)
 
<<END>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,, 	(29-AUG-2025 13:10:06)
 
