

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(25-FEB-2025 13:18:33)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,SEQ_NO,ENTITY,TIMESTAMP
RIL , 1 , 1 , C ,  	(25-FEB-2025 13:18:34)
MGL , 2 , 1 , C ,  	(25-FEB-2025 13:18:34)
GSPCL , 3 , 1 , C ,  	(25-FEB-2025 13:18:34)
Gail , 4 , 1 , C ,  	(25-FEB-2025 13:18:34)
Gail , 4 , 2 , R ,  	(25-FEB-2025 13:18:34)
BPL , 5 , 1 , C ,  	(25-FEB-2025 13:18:34)
EPL , 6 , 1 , C ,  	(25-FEB-2025 13:18:34)
ESL , 7 , 1 , C ,  	(25-FEB-2025 13:18:34)
NTPC , 8 , 1 , C ,  	(25-FEB-2025 13:18:34)
KRIBHCO , 9 , 1 , C ,  	(25-FEB-2025 13:18:34)
DFPCL , 10 , 1 , C ,  	(25-FEB-2025 13:18:34)
AIGL , 11 , 1 , C ,  	(25-FEB-2025 13:18:34)
ESEZ , 12 , 1 , C ,  	(25-FEB-2025 13:18:34)
KSFL , 13 , 1 , C ,  	(25-FEB-2025 13:18:34)
MAHAGENCO , 14 , 1 , C ,  	(25-FEB-2025 13:18:34)
NPL , 15 , 1 , C ,  	(25-FEB-2025 13:18:34)
SIGIL , 16 , 1 , C ,  	(25-FEB-2025 13:18:34)
VIL , 17 , 1 , C ,  	(25-FEB-2025 13:18:34)
VSIL , 18 , 1 , C ,  	(25-FEB-2025 13:18:34)
GGCL , 19 , 1 , C ,  	(25-FEB-2025 13:18:34)
TPL , 20 , 1 , C ,  	(25-FEB-2025 13:18:34)
WMSL , 21 , 1 , C ,  	(25-FEB-2025 13:18:34)
MNGL , 22 , 1 , C ,  	(25-FEB-2025 13:18:34)
IGL , 23 , 1 , C ,  	(25-FEB-2025 13:18:34)
BPCL , 24 , 1 , C ,  	(25-FEB-2025 13:18:34)
BPCL , 24 , 2 , T ,  	(25-FEB-2025 13:18:34)
TEL , 25 , 1 , C ,  	(25-FEB-2025 13:18:35)
HPCL , 26 , 1 , C ,  	(25-FEB-2025 13:18:35)
