
<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(12-MAR-2025 17:45:05)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TIMESTAMP
SGIPL,35,C,2, 	(12-MAR-2025 17:45:06)
SGIPL,35,C,1, 	(12-MAR-2025 17:45:06)
VGL,36,C,1, 	(12-MAR-2025 17:45:06)
VGL,36,C,3, 	(12-MAR-2025 17:45:06)
VGL,36,C,2, 	(12-MAR-2025 17:45:06)
PGPGPL,37,C,1, 	(12-MAR-2025 17:45:06)
PGPGPL,37,C,2, 	(12-MAR-2025 17:45:06)
PGPGPL,37,C,3, 	(12-MAR-2025 17:45:06)
HCG,38,C,1, 	(12-MAR-2025 17:45:06)
GGL,39,C,2, 	(12-MAR-2025 17:45:06)
GGL,39,C,1, 	(12-MAR-2025 17:45:06)
GGL,39,C,1, 	(12-MAR-2025 17:45:06)
CFC,40,C,1, 	(12-MAR-2025 17:45:06)
CFC,40,C,3, 	(12-MAR-2025 17:45:06)
CFC,40,C,2, 	(12-MAR-2025 17:45:06)
IFFCO,41,C,3, 	(12-MAR-2025 17:45:06)
IFFCO,41,C,1, 	(12-MAR-2025 17:45:06)
IFFCO,41,C,2, 	(12-MAR-2025 17:45:06)
HGL-RLNG,42,C,1, 	(12-MAR-2025 17:45:06)
PipeInfra,43,C,10, 	(12-MAR-2025 17:45:06)
PipeInfra,43,C,5, 	(12-MAR-2025 17:45:06)
PipeInfra,43,C,11, 	(12-MAR-2025 17:45:06)
PipeInfra,43,C,2, 	(12-MAR-2025 17:45:06)
PipeInfra,43,C,1, 	(12-MAR-2025 17:45:06)
PipeInfra,43,C,3, 	(12-MAR-2025 17:45:06)
PipeInfra,43,C,7, 	(12-MAR-2025 17:45:06)
PipeInfra,43,C,6, 	(12-MAR-2025 17:45:06)
PipeInfra,43,C,9, 	(12-MAR-2025 17:45:06)
PipeInfra,43,C,4, 	(12-MAR-2025 17:45:06)
PipeInfra,43,C,8, 	(12-MAR-2025 17:45:06)
NFL,44,C,2, 	(12-MAR-2025 17:45:06)
NFL,44,C,3, 	(12-MAR-2025 17:45:06)
NFL,44,C,1, 	(12-MAR-2025 17:45:06)
HSIL,45,C,1, 	(12-MAR-2025 17:45:06)
HSIL,45,C,1, 	(12-MAR-2025 17:45:06)
HSIL,45,C,1, 	(12-MAR-2025 17:45:06)
VVF,46,C,3, 	(12-MAR-2025 17:45:06)
KFL,47,C,1, 	(12-MAR-2025 17:45:06)
KFL,47,C,2, 	(12-MAR-2025 17:45:06)
BIL,48,C,1, 	(12-MAR-2025 17:45:06)
RIPL,49,C,1, 	(12-MAR-2025 17:45:06)
CP,50,C,1, 	(12-MAR-2025 17:45:06)
CP,50,C,1, 	(12-MAR-2025 17:45:06)
HHFGPL,51,C,1, 	(12-MAR-2025 17:45:06)
VIDUWIL,52,C,1, 	(12-MAR-2025 17:45:06)
AGP CGD,53,C,2, 	(12-MAR-2025 17:45:06)
AGP CGD,53,C,1, 	(12-MAR-2025 17:45:06)
