
<<START>>,<<FMS_TRADER_CARGO_MST>>, 	(04-APR-2025 15:28:12)
 
ABBR,MAN_CD,AGMT_TYPE,AGMT_NO,AGMR_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_NO,TIMESTAMP
HPCL,22009, M ,1, 0 , N ,725001, 0 ,1, 	(04-APR-2025 15:28:13)
AMNS,22012, M ,1, 0 , N ,725002, 0 ,1, 	(04-APR-2025 15:28:13)
AMNS,22017, M ,2, 0 , N ,725003, 0 ,1, 	(04-APR-2025 15:28:13)
SEMTPL,22018, M ,1, 0 , N ,725004, 0 ,1, 	(04-APR-2025 15:28:13)
SEMTPL,22019, M ,2, 0 , N ,725005, 0 ,1, 	(04-APR-2025 15:28:13)
