

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(20-FEB-2025 15:43:53)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,SEQ_NO,ENTITY,TIMESTAMP
BLPL , 82 , 1 , C ,  	(20-FEB-2025 15:43:54)
GIPSKARTON , 83 , 1 , C ,  	(20-FEB-2025 15:43:54)
TGPL , 84 , 1 , T ,  	(20-FEB-2025 15:43:54)
SELNG , 85 , 1 , T ,  	(20-FEB-2025 15:43:54)
SITME , 86 , 1 , T ,  	(20-FEB-2025 15:43:54)
DT , 87 , 1 , T ,  	(20-FEB-2025 15:43:54)
ThirdParty , 88 , 1 , T ,  	(20-FEB-2025 15:43:54)
GUNSPL , 89 , 1 , T ,  	(20-FEB-2025 15:43:54)
RIL-D6 , 90 , 2 , T ,  	(20-FEB-2025 15:43:54)
BP , 91 , 1 , T ,  	(20-FEB-2025 15:43:54)
AMNS-T , 92 , 1 , T ,  	(20-FEB-2025 15:43:54)
RIL-CBM , 93 , 2 , T ,  	(20-FEB-2025 15:43:54)
GSPL , 97 , 1 , C ,  	(20-FEB-2025 15:43:54)
GSPL , 97 , 2 , R ,  	(20-FEB-2025 15:43:55)
TGLPL , 110 , 1 , C ,  	(20-FEB-2025 15:43:55)
TGBPL , 111 , 1 , C ,  	(20-FEB-2025 15:43:55)
BGEPL , 112 , 1 , C ,  	(20-FEB-2025 15:43:55)
IMCL , 113 , 1 , C ,  	(20-FEB-2025 15:43:55)
VVF India , 115 , 1 , C ,  	(20-FEB-2025 15:43:55)
GNFC , 116 , 1 , C ,  	(20-FEB-2025 15:43:55)
MEGHHQX , 117 , 1 , C ,  	(20-FEB-2025 15:43:55)
ONGC , 118 , 1 , T ,  	(20-FEB-2025 15:43:55)
GLIL , 119 , 1 , C ,  	(20-FEB-2025 15:43:55)
UGEL , 120 , 1 , C ,  	(20-FEB-2025 15:43:55)
SGI-AP , 121 , 1 , C ,  	(20-FEB-2025 15:43:55)
IGX , 122 , 1 , C ,  	(20-FEB-2025 15:43:55)
RGPL , 124 , 1 , C ,  	(20-FEB-2025 15:43:55)
RGPL , 124 , 2 , R ,  	(20-FEB-2025 15:43:55)
GTIPL , 125 , 1 , C ,  	(20-FEB-2025 15:43:55)
GSPL-C , 126 , 1 , C ,  	(20-FEB-2025 15:43:55)
PEPL , 127 , 1 , C ,  	(20-FEB-2025 15:43:55)
GFCL , 128 , 1 , C ,  	(20-FEB-2025 15:43:55)
DERL , 129 , 1 , T ,  	(20-FEB-2025 15:43:55)
CPL , 130 , 1 , C ,  	(20-FEB-2025 15:43:55)
IRM , 131 , 1 , C ,  	(20-FEB-2025 15:43:55)
PPL , 132 , 1 , C ,  	(20-FEB-2025 15:43:55)
YARALTD , 133 , 1 , C ,  	(20-FEB-2025 15:43:55)
INPEROX , 134 , 1 , C ,  	(20-FEB-2025 15:43:55)
RAFECHL , 135 , 1 , C ,  	(20-FEB-2025 15:43:55)
MGRPL , 136 , 1 , C ,  	(20-FEB-2025 15:43:55)
MGRPL , 136 , 2 , T ,  	(20-FEB-2025 15:43:55)
CNTENKA , 137 , 1 , C ,  	(20-FEB-2025 15:43:55)
EFSPL , 138 , 1 , C ,  	(20-FEB-2025 15:43:55)
EFSPL , 138 , 2 , T ,  	(20-FEB-2025 15:43:55)
HINDURV , 140 , 1 , C ,  	(20-FEB-2025 15:43:55)
HCGPUTE , 142 , 1 , C ,  	(20-FEB-2025 15:43:55)
GOAGLSF , 143 , 1 , C ,  	(20-FEB-2025 15:43:55)
IGSPL , 144 , 1 , C ,  	(20-FEB-2025 15:43:55)
IGSPL , 144 , 2 , T ,  	(20-FEB-2025 15:43:55)
PEFORCV , 146 , 1 , C ,  	(20-FEB-2025 15:43:55)
BHEL , 155 , 1 , C ,  	(20-FEB-2025 15:43:55)
COMFIND , 159 , 1 , C ,  	(20-FEB-2025 15:43:55)
DCMSHRI , 160 , 1 , C ,  	(20-FEB-2025 15:43:55)
HOECLTD , 182 , 1 , C ,  	(20-FEB-2025 15:43:55)
HOECLTD , 182 , 2 , T ,  	(20-FEB-2025 15:43:55)
HINAGIL , 184 , 1 , C ,  	(20-FEB-2025 15:43:55)
HPOIGAS , 188 , 1 , C ,  	(20-FEB-2025 15:43:55)
MANIKAR , 196 , 1 , C ,  	(20-FEB-2025 15:43:55)
ESSAREX , 208 , 1 , T ,  	(20-FEB-2025 15:43:55)
NEL , 209 , 1 , C ,  	(20-FEB-2025 15:43:55)
TASTELI , 238 , 1 , C ,  	(20-FEB-2025 15:43:55)
HMEL , 239 , 1 , C ,  	(20-FEB-2025 15:43:55)
DIL , 240 , 1 , T ,  	(20-FEB-2025 15:43:55)
BOROREN , 241 , 1 , C ,  	(20-FEB-2025 15:43:55)
KINGASP , 242 , 1 , C ,  	(20-FEB-2025 15:43:55)
RATNAGI , 245 , 1 , C ,  	(20-FEB-2025 15:43:55)
IDOINVA , 247 , 1 , C ,  	(20-FEB-2025 15:43:55)
IDOINVA , 248 , 1 , C ,  	(20-FEB-2025 15:43:55)
AGPCGIN , 250 , 1 , C ,  	(20-FEB-2025 15:43:55)
NESTLIN , 251 , 1 , C ,  	(20-FEB-2025 15:43:55)
SITMEFZ , 252 , 1 , T ,  	(20-FEB-2025 15:43:55)
VISHPRI , 253 , 1 , C ,  	(20-FEB-2025 15:43:55)
SOMANY , 255 , 1 , C ,  	(20-FEB-2025 15:43:55)
BHOGATD , 256 , 1 , C ,  	(20-FEB-2025 15:43:55)
VEDALTD , 257 , 1 , C ,  	(20-FEB-2025 15:43:55)
VEDALTD , 257 , 2 , T ,  	(20-FEB-2025 15:43:55)
