
<<START>>,<<FMS_SUPPLY_CONT_MST(DLNG)>>,, 	(10-JUN-2025 17:45:50)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,TIMESTAMP,
MINDA,1,0,5,1,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,3,1,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,11,0,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,8,0,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,7,1,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,6,1,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,9,1,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,9,0,F, 	(10-JUN-2025 17:45:51)
MINDA,1,0,8,1,F, 	(10-JUN-2025 17:45:51)
LEIPL,1,0,1,0,F, 	(10-JUN-2025 17:45:51)
LEIPL,1,0,1,1,F, 	(10-JUN-2025 17:45:51)
LEIPL,1,0,3,1,F, 	(10-JUN-2025 17:45:51)
LEIPL,1,0,2,1,F, 	(10-JUN-2025 17:45:51)
LEIPL,1,0,2,0,F, 	(10-JUN-2025 17:45:51)
LEIPL,1,0,2,2,F, 	(10-JUN-2025 17:45:51)
LEIPL,1,0,3,0,F, 	(10-JUN-2025 17:45:51)
SCHOTT,1,0,1,0,F, 	(10-JUN-2025 17:45:51)
SCHOTT,1,0,2,0,F, 	(10-JUN-2025 17:45:51)
SCHOTT,1,0,2,1,F, 	(10-JUN-2025 17:45:51)
SCHOTT,1,0,1,1,F, 	(10-JUN-2025 17:45:51)
SCHOTT,1,0,1,2,F, 	(10-JUN-2025 17:45:51)
SCHOTT,1,0,2,2,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,2,0,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,1,0,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,2,1,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,1,1,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,8,0,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,9,1,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,3,0,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,4,0,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,4,1,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,6,0,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,7,0,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,3,1,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,5,0,F, 	(10-JUN-2025 17:45:51)
BIPL,1,0,9,0,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,3,0,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,1,0,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,2,0,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,1,1,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,2,1,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,4,0,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,7,1,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,8,0,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,9,1,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,8,1,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,10,1,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,13,0,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,14,0,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,13,1,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,12,1,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,11,1,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,6,1,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,10,0,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,3,1,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,5,0,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,6,0,F, 	(10-JUN-2025 17:45:51)
EXXARO,1,0,9,0,F, 	(10-JUN-2025 17:45:52)
EXXARO,1,0,11,0,F, 	(10-JUN-2025 17:45:52)
EXXARO,1,0,4,1,F, 	(10-JUN-2025 17:45:52)
EXXARO,1,0,7,0,F, 	(10-JUN-2025 17:45:52)
EXXARO,1,0,5,1,F, 	(10-JUN-2025 17:45:52)
EXXARO,1,0,14,1,F, 	(10-JUN-2025 17:45:52)
EXXARO,1,0,12,0,F, 	(10-JUN-2025 17:45:52)
KAJARIA,1,0,2,0,F, 	(10-JUN-2025 17:45:52)
KAJARIA,1,0,1,0,F, 	(10-JUN-2025 17:45:52)
KAJARIA,1,0,1,1,F, 	(10-JUN-2025 17:45:52)
KAJARIA,1,0,2,1,F, 	(10-JUN-2025 17:45:52)
JKPAPER,1,0,2,0,F, 	(10-JUN-2025 17:45:52)
JKPAPER,1,0,4,0,F, 	(10-JUN-2025 17:45:52)
JKPAPER,1,0,3,0,F, 	(10-JUN-2025 17:45:52)
JKPAPER,1,0,1,1,F, 	(10-JUN-2025 17:45:52)
JKPAPER,1,0,3,1,F, 	(10-JUN-2025 17:45:52)
JKPAPER,1,0,1,0,F, 	(10-JUN-2025 17:45:52)
JKPAPER,1,0,10,1,F, 	(10-JUN-2025 17:45:52)
JKPAPER,1,0,8,1,F, 	(10-JUN-2025 17:45:52)
JKPAPER,1,0,9,0,F, 	(10-JUN-2025 17:45:52)
JKPAPER,1,0,4,1,F, 	(10-JUN-2025 17:45:52)
