

<<START>>,<<FMS_SUPPLY_CONT_MST>>,,, 	(12-SEP-2025 10:51:31)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
RIL,2,1,40,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,1,42,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,1,35,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,1,38,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,1,41,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,1,41,1,S, 	(12-SEP-2025 10:51:32)
RIL,2,1,43,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,22,2,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,21,1,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,21,2,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,23,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,24,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,25,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,26,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,29,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,30,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,1,33,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,1,34,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,1,36,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,25,2,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,27,2,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,31,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,1,37,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,27,0,S, 	(12-SEP-2025 10:51:32)
RIL,2,0,28,0,S, 	(12-SEP-2025 10:51:32)
RIL,3,0,1,0,S, 	(12-SEP-2025 10:51:32)
RIL,3,0,2,0,S, 	(12-SEP-2025 10:51:32)
RIL,3,0,3,0,S, 	(12-SEP-2025 10:51:32)
RIL,4,0,1,0,S, 	(12-SEP-2025 10:51:32)
RIL,5,0,1,0,L, 	(12-SEP-2025 10:51:32)
RIL,3,0,1,0,L, 	(12-SEP-2025 10:51:32)
RIL,1,0,1,0,L, 	(12-SEP-2025 10:51:32)
RIL,2,0,1,0,L, 	(12-SEP-2025 10:51:32)
MGL,3,0,2,0,S, 	(12-SEP-2025 10:51:32)
MGL,3,0,9,0,S, 	(12-SEP-2025 10:51:32)
MGL,1,0,1,0,S, 	(12-SEP-2025 10:51:32)
MGL,1,0,2,0,S, 	(12-SEP-2025 10:51:32)
MGL,2,0,1,1,S, 	(12-SEP-2025 10:51:32)
MGL,3,0,7,0,S, 	(12-SEP-2025 10:51:32)
MGL,3,0,8,0,S, 	(12-SEP-2025 10:51:32)
MGL,6,0,1,1,S, 	(12-SEP-2025 10:51:32)
MGL,3,0,13,0,S, 	(12-SEP-2025 10:51:32)
MGL,5,0,2,0,S, 	(12-SEP-2025 10:51:32)
MGL,5,0,3,0,S, 	(12-SEP-2025 10:51:32)
MGL,4,0,1,0,S, 	(12-SEP-2025 10:51:32)
MGL,6,0,1,0,S, 	(12-SEP-2025 10:51:32)
MGL,6,0,4,0,S, 	(12-SEP-2025 10:51:32)
MGL,3,0,12,0,S, 	(12-SEP-2025 10:51:32)
MGL,4,0,2,0,S, 	(12-SEP-2025 10:51:32)
MGL,4,0,3,0,S, 	(12-SEP-2025 10:51:32)
MGL,4,0,4,0,S, 	(12-SEP-2025 10:51:32)
MGL,5,0,1,0,S, 	(12-SEP-2025 10:51:32)
MGL,2,0,4,1,S, 	(12-SEP-2025 10:51:32)
MGL,3,0,3,0,S, 	(12-SEP-2025 10:51:32)
