

<<START>>,<<FMS_GTA_SG_INV_MST>>,,, 	(19-AUG-2025 12:16:17)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TRANSPORTER_MAP,CONT_MAP,MDQ,TIMESTAMP,

TOTAL DATA EXTRACTED :,1141 ,,, 	(19-AUG-2025 12:16:21)
 
<<END>>,<<FMS_GTA_SG_INV_MST>>,,, 	(19-AUG-2025 12:16:21)
 

<<START>>,<<FMS_GTA_PG_INV_MST>>,,, 	(19-AUG-2025 12:16:21)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TRANSPORTER_MAP,CONT_MAP,MDQ,TIMESTAMP,

TOTAL DATA EXTRACTED :,1141 ,,, 	(19-AUG-2025 12:16:24)
 
<<END>>,<<FMS_GTA_PG_INV_MST>>,,, 	(19-AUG-2025 12:16:24)
 
