
<<START>>,<<FMS_COUNTERPARTY_PLANT_TAX>>,,,, 	(21-FEB-2025 09:57:38)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,STAT_NM,TIMESTAMP
GSPCL,3,C,3,CST TIN No., 	(21-FEB-2025 09:57:39)
GSPCL,3,C,2,CST TIN No., 	(21-FEB-2025 09:57:39)
GSPCL,3,C,2,VAT TIN No., 	(21-FEB-2025 09:57:39)
GSPCL,3,C,1,PAN No., 	(21-FEB-2025 09:57:39)
GSPCL,3,C,3,VAT TIN No., 	(21-FEB-2025 09:57:39)
GSPCL,3,C,1,GSTIN, 	(21-FEB-2025 09:57:39)
GSPCL,3,C,2,PAN No., 	(21-FEB-2025 09:57:39)
GSPCL,3,C,3,PAN No., 	(21-FEB-2025 09:57:39)
GSPCL,3,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,1,PAN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,1,GSTIN, 	(21-FEB-2025 09:57:39)
Gail,4,C,2,GSTIN, 	(21-FEB-2025 09:57:39)
Gail,4,C,6,PAN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,1,GVAT TIN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,3,VAT TIN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,4,PAN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,5,PAN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,6,GSTIN, 	(21-FEB-2025 09:57:39)
Gail,4,C,8,CST TIN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,2,PAN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,4,VAT TIN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,6,GST TIN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,2,CST TIN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,4,CST TIN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,5,GSTIN, 	(21-FEB-2025 09:57:39)
Gail,4,C,7,PAN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,3,PAN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,4,GSTIN, 	(21-FEB-2025 09:57:39)
Gail,4,C,7,CST TIN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,8,PAN No., 	(21-FEB-2025 09:57:39)
Gail,4,C,6,GSTIN, 	(21-FEB-2025 09:57:39)
ESL,7,C,1,CST TIN No., 	(21-FEB-2025 09:57:39)
