
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(28-APR-2025 13:49:32)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, EXP_DELV_QTY, REMARK,TIMESTAMP
10009,null,null,21/03/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
10010,null,null,31/08/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
10011,null,null,06/11/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
10012,null,null,23/03/2012 00:00:00,null, 	(28-APR-2025 13:49:36)
10013,null,null,12/09/2012 00:00:00,null, 	(28-APR-2025 13:49:36)
10009,null,null,07/03/2011 00:00:00,Diff. CD because of change in cargo cost at the time of FINAL Invoicing., 	(28-APR-2025 13:49:36)
10010,null,null,22/08/2011 00:00:00,1.21 Rs. Adjustment as Differencial CD ..., 	(28-APR-2025 13:49:36)
10011,null,null,22/10/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
10012,null,null,23/03/2012 00:00:00,The total custom duty is rounded and tallied with excel calculation, 	(28-APR-2025 13:49:36)
10013,null,null,12/09/2012 00:00:00,The value matched as per Custom EDI system, 	(28-APR-2025 13:49:36)
10009,null,null,21/03/2011 00:00:00,Diff. CD because of change in cargo cost at the time of FINAL Invoicing., 	(28-APR-2025 13:49:36)
10010,null,null,31/08/2011 00:00:00,-1.21 Rs. Adjustment as Differencial CD., 	(28-APR-2025 13:49:36)
10011,null,null,06/11/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
10012,null,null,23/03/2012 00:00:00,null, 	(28-APR-2025 13:49:36)
10013,null,null,12/09/2012 00:00:00,Qty unloaded is less than provisional quantity, 	(28-APR-2025 13:49:36)
10005,null,null,28/09/2010 00:00:00,null, 	(28-APR-2025 13:49:36)
10005,null,null,28/09/2010 00:00:00,null, 	(28-APR-2025 13:49:36)
10005,null,null,05/10/2010 00:00:00,null, 	(28-APR-2025 13:49:36)
10005,null,null,28/09/2010 00:00:00,null, 	(28-APR-2025 13:49:36)
10005,null,null,05/10/2010 00:00:00,null, 	(28-APR-2025 13:49:36)
11002,null,null,12/02/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
11002,null,null,12/02/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
11002,null,null,16/02/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
11002,null,null,12/02/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
11002,null,null,16/02/2011 00:00:00,null, 	(28-APR-2025 13:49:36)
11011,null,null,23/04/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
11011,null,null,23/04/2013 00:00:00,null, 	(28-APR-2025 13:49:36)
