
<<START>>,<<FMS_PRODUCT_MOLECULE_MST>>, 	(09-JUN-2025 15:37:07)
 
PROD_CD,PROD_ABBR,TIMESTAMP
Liquified Natural Gas,Liquified Natural Gas, 	(09-JUN-2025 15:37:07)
ReGasified Liquified Natural Gas,ReGasified Liquified Natural Gas, 	(09-JUN-2025 15:37:07)
RLNG-Imported LNG ,RLNG-Imported LNG , 	(09-JUN-2025 15:37:07)
RLNG-In tank purchase ,RLNG-In tank purchase , 	(09-JUN-2025 15:37:07)
RLNG-Third Party,RLNG-Third Party, 	(09-JUN-2025 15:37:07)
Domestic Gas-IGX ,Domestic Gas-IGX , 	(09-JUN-2025 15:37:07)
Domestic Gas-D6,Domestic Gas-D6, 	(09-JUN-2025 15:37:07)
Domestic Gas-CBM,Domestic Gas-CBM, 	(09-JUN-2025 15:37:07)
Domestic Gas-ONGC Gas,Domestic Gas-ONGC Gas, 	(09-JUN-2025 15:37:07)
Domestic Gas-SEMTIPL,Domestic Gas-SEMTIPL, 	(09-JUN-2025 15:37:07)
Domestic Gas-RIL,Domestic Gas-RIL, 	(09-JUN-2025 15:37:07)
Domestic Gas-BP,Domestic Gas-BP, 	(09-JUN-2025 15:37:07)
Domestic Gas-HPCL,Domestic Gas-HPCL, 	(09-JUN-2025 15:37:07)
Domestic Gas-AMNS,Domestic Gas-AMNS, 	(09-JUN-2025 15:37:07)
Domestic Gas,Domestic Gas, 	(09-JUN-2025 15:37:07)
Domestic Gas-D6 CAP,Domestic Gas-D6 CAP, 	(09-JUN-2025 15:37:07)
Domestic Gas-IGX  CAP,Domestic Gas-IGX  CAP, 	(09-JUN-2025 15:37:07)

TOTAL DATA EXTRACTED :,17,  	(09-JUN-2025 15:37:07)
 
<<END>>,<<FMS_PRODUCT_MOLECULE_MST>>, 	(09-JUN-2025 15:37:07)
 
