

<<START>>,<<FMS_AGMT_MST>>,,, 	(28-APR-2025 11:36:28)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,PLANT_SEQ_NO,TIMESTAMP,
RIL,1,F,2,0,GSPL,1, 	(28-APR-2025 11:36:41)
RIL,1,F,2,0,GSPL,2, 	(28-APR-2025 11:36:41)
RIL,1,F,2,0,GSPL,3, 	(28-APR-2025 11:36:41)
RIL,1,F,2,0,GSPL,4, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,Gail,1, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,Gail,2, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,Gail,3, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,Gail,4, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,Gail,5, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,Gail,6, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,Gail,7, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,Gail,8, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,Gail,9, 	(28-APR-2025 11:36:41)
RIL,1,F,1,0,GSPL,1, 	(28-APR-2025 11:36:41)
RIL,1,F,1,0,GSPL,2, 	(28-APR-2025 11:36:41)
RIL,1,F,1,0,GSPL,3, 	(28-APR-2025 11:36:41)
RIL,1,F,1,0,GSPL,4, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,PipeInfra,1, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,PipeInfra,2, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,PipeInfra,3, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,PipeInfra,4, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,PipeInfra,5, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,PipeInfra,6, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,PipeInfra,7, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,PipeInfra,8, 	(28-APR-2025 11:36:41)
RIL,1,F,2,1,GSPL,1, 	(28-APR-2025 11:36:41)
RIL,1,F,2,1,GSPL,2, 	(28-APR-2025 11:36:41)
RIL,1,F,2,1,GSPL,3, 	(28-APR-2025 11:36:41)
RIL,1,F,2,1,GSPL,4, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,GSPL,1, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,GSPL,2, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,GSPL,3, 	(28-APR-2025 11:36:41)
RIL,1,F,3,0,GSPL,4, 	(28-APR-2025 11:36:41)
MGL,2,F,6,2,Gail,1, 	(28-APR-2025 11:36:41)
MGL,2,F,6,2,Gail,1, 	(28-APR-2025 11:36:41)
MGL,2,F,6,2,Gail,3, 	(28-APR-2025 11:36:41)
MGL,2,F,6,2,Gail,4, 	(28-APR-2025 11:36:41)
MGL,2,F,6,2,Gail,5, 	(28-APR-2025 11:36:41)
MGL,2,F,6,2,Gail,6, 	(28-APR-2025 11:36:41)
MGL,2,F,6,2,Gail,7, 	(28-APR-2025 11:36:41)
MGL,2,F,6,2,Gail,8, 	(28-APR-2025 11:36:41)
MGL,2,F,6,2,Gail,9, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,1,GSPL,1, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,1,GSPL,2, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,1,GSPL,3, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,1,GSPL,4, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,4,GSPL,1, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,4,GSPL,2, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,4,GSPL,3, 	(28-APR-2025 11:36:41)
GSPCL,3,F,1,4,GSPL,4, 	(28-APR-2025 11:36:41)
