
<<START>>,<<FMS_DLNG_FFLOW_INV_MST>>,,,, 	(04-FEB-2026 12:36:01)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,LOG_SEQ_NO,TIMESTAMP,
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:10)
KUTCHCL,S,, 	(04-FEB-2026 12:36:11)
KUTCHCL,S,, 	(04-FEB-2026 12:36:11)
KUTCHCL,S,, 	(04-FEB-2026 12:36:11)
KUTCHCL,S,, 	(04-FEB-2026 12:36:11)
KUTCHCL,S,, 	(04-FEB-2026 12:36:11)
KUTCHCL,S,, 	(04-FEB-2026 12:36:11)
KUTCHCL,S,, 	(04-FEB-2026 12:36:11)
KUTCHCL,S,, 	(04-FEB-2026 12:36:11)
KUTCHCL,S,, 	(04-FEB-2026 12:36:11)
KUTCHCL,S,, 	(04-FEB-2026 12:36:11)
KUTCHCL,S,, 	(04-FEB-2026 12:36:11)

TOTAL DATA EXTRACTED :,136,,,, 	(04-FEB-2026 12:36:11)
 
<<END>>,<<FMS_DLNG_FFLOW_INV_MST>>,,,, 	(04-FEB-2026 12:36:11)
 
