

<<START>>,<<FMS_AGMT_MST>>,,, 	(04-JUN-2025 15:52:01)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TIMESTAMP,
<<START>>,<<FMS_AGMT_TRANSPTR>>,,,, 	(04-JUN-2025 15:52:02)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,PLANT_SEQ_NO,TIMESTAMP,
RIL,1,F,2,0,GSPL,1, 	(04-JUN-2025 15:52:03)
RIL,1,F,2,0,GSPL,2, 	(04-JUN-2025 15:52:03)
RIL,1,F,2,0,GSPL,3, 	(04-JUN-2025 15:52:03)
RIL,1,F,2,0,GSPL,4, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,Gail,1, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,Gail,2, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,Gail,3, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,Gail,4, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,Gail,5, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,Gail,6, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,Gail,7, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,Gail,8, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,Gail,9, 	(04-JUN-2025 15:52:03)
RIL,1,F,1,0,GSPL,1, 	(04-JUN-2025 15:52:03)
RIL,1,F,1,0,GSPL,2, 	(04-JUN-2025 15:52:03)
RIL,1,F,1,0,GSPL,3, 	(04-JUN-2025 15:52:03)
RIL,1,F,1,0,GSPL,4, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,PipeInfra,1, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,PipeInfra,2, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,PipeInfra,3, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,PipeInfra,4, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,PipeInfra,5, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,PipeInfra,6, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,PipeInfra,7, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,PipeInfra,8, 	(04-JUN-2025 15:52:03)
RIL,1,F,2,1,GSPL,1, 	(04-JUN-2025 15:52:03)
RIL,1,F,2,1,GSPL,2, 	(04-JUN-2025 15:52:03)
RIL,1,F,2,1,GSPL,3, 	(04-JUN-2025 15:52:03)
RIL,1,F,2,1,GSPL,4, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,GSPL,1, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,GSPL,2, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,GSPL,3, 	(04-JUN-2025 15:52:03)
RIL,1,F,3,0,GSPL,4, 	(04-JUN-2025 15:52:03)
MGL,2,F,6,2,Gail,1, 	(04-JUN-2025 15:52:03)
MGL,2,F,6,2,Gail,2, 	(04-JUN-2025 15:52:03)
MGL,2,F,6,2,Gail,3, 	(04-JUN-2025 15:52:03)
MGL,2,F,6,2,Gail,4, 	(04-JUN-2025 15:52:03)
MGL,2,F,6,2,Gail,5, 	(04-JUN-2025 15:52:03)
MGL,2,F,6,2,Gail,6, 	(04-JUN-2025 15:52:03)
MGL,2,F,6,2,Gail,7, 	(04-JUN-2025 15:52:03)
MGL,2,F,6,2,Gail,8, 	(04-JUN-2025 15:52:03)
MGL,2,F,6,2,Gail,9, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,1,GSPL,1, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,1,GSPL,2, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,1,GSPL,3, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,1,GSPL,4, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,4,GSPL,1, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,4,GSPL,2, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,4,GSPL,3, 	(04-JUN-2025 15:52:03)
GSPCL,3,F,1,4,GSPL,4, 	(04-JUN-2025 15:52:03)
