

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(01-MAR-2025 15:51:57)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,SEQ_NO,ENTITY,TIMESTAMP
BLPL , 82 , 1 , C ,  	(01-MAR-2025 15:51:59)
GIPSKARTON , 83 , 1 , C ,  	(01-MAR-2025 15:51:59)
TGPL , 84 , 1 , T ,  	(01-MAR-2025 15:51:59)
SELNG , 85 , 1 , T ,  	(01-MAR-2025 15:51:59)
SITME , 86 , 1 , T ,  	(01-MAR-2025 15:51:59)
DT , 87 , 1 , T ,  	(01-MAR-2025 15:51:59)
ThirdParty , 88 , 1 , T ,  	(01-MAR-2025 15:51:59)
GUNSPL , 89 , 1 , T ,  	(01-MAR-2025 15:51:59)
RIL-D6 , 90 , 2 , T ,  	(01-MAR-2025 15:51:59)
BP , 91 , 1 , T ,  	(01-MAR-2025 15:51:59)
AMNS-T , 92 , 1 , T ,  	(01-MAR-2025 15:51:59)
RIL-CBM , 93 , 2 , T ,  	(01-MAR-2025 15:51:59)
GSPL , 97 , 1 , C ,  	(01-MAR-2025 15:51:59)
GSPL , 97 , 2 , R ,  	(01-MAR-2025 15:51:59)
TGLPL , 110 , 1 , C ,  	(01-MAR-2025 15:51:59)
TGBPL , 111 , 1 , C ,  	(01-MAR-2025 15:51:59)
BGEPL , 112 , 1 , C ,  	(01-MAR-2025 15:51:59)
IMCL , 113 , 1 , C ,  	(01-MAR-2025 15:51:59)
VVF India , 115 , 1 , C ,  	(01-MAR-2025 15:51:59)
GNFC , 116 , 1 , C ,  	(01-MAR-2025 15:51:59)
MEGHHQX , 117 , 1 , C ,  	(01-MAR-2025 15:51:59)
ONGC , 118 , 1 , T ,  	(01-MAR-2025 15:51:59)
GLIL , 119 , 1 , C ,  	(01-MAR-2025 15:51:59)
UGEL , 120 , 1 , C ,  	(01-MAR-2025 15:51:59)
SGI-AP , 121 , 1 , C ,  	(01-MAR-2025 15:51:59)
IGX , 122 , 1 , C ,  	(01-MAR-2025 15:51:59)
RGPL , 124 , 1 , C ,  	(01-MAR-2025 15:51:59)
RGPL , 124 , 2 , R ,  	(01-MAR-2025 15:51:59)
GTIPL , 125 , 1 , C ,  	(01-MAR-2025 15:51:59)
GSPL-C , 126 , 1 , C ,  	(01-MAR-2025 15:51:59)
PEPL , 127 , 1 , C ,  	(01-MAR-2025 15:51:59)
GFCL , 128 , 1 , C ,  	(01-MAR-2025 15:51:59)
DERL , 129 , 1 , T ,  	(01-MAR-2025 15:51:59)
CPL , 130 , 1 , C ,  	(01-MAR-2025 15:51:59)
IRM , 131 , 1 , C ,  	(01-MAR-2025 15:51:59)
PPL , 132 , 1 , C ,  	(01-MAR-2025 15:51:59)
